date,name,jump_type,trial_number,bar_load,Body Mass,Flight Time,Net Impulse,Jump Height (FT),Jump Height (NI),Takeoff Velocity,Peak Force,Peak Velocity,Peak Power,Force @ Peak Power,Velocity @ Peak Power,Time to Peak Force,Avg RFD,Contact Time,RSI Modified,FP1 Net Impulse,FP2 Net Impulse,Net Impulse SI,FP1 Peak Force,FP2 Peak Force,Peak Force SI,FP1 Time to Peak Force,FP2 Time to Peak Force,Time to Peak Force SI,FP1 Avg RFD,FP2 Avg RFD,Avg RFD SI,Unweighting Duration,Braking Duration,Concentric Duration,Force @ Zero Velo
2019-11-08,"",cmj,1,0,80.5062395514781,0.554,206.14472474,0.376355745,0.334184548530041,2.56060556161222,1959.73,2.69563898126472,4430.13577450341,1849.72,2.39503047731733,0.717,1603.05439330544,0.807,0.414107247249121,93.3782034,112.76652134,-18.8103944589933,989.14,970.59,1.89311792951069,0.717,0.717,0,802.55230125523,800.502092050209,0.255787852687076,0.377,0.154,0.276,1587.39
2019-11-08,"",cmj,2,0,76.332499490316,0.523,188.10807192,0.33541493625,0.309525827952736,2.46432480497857,1933.08,2.63550422222873,3989.15022805432,1721.46,2.31730637252932,0.571,2053.25744308231,0.695,0.445360903529117,77.80436812,110.3037038,-34.5538980313631,938.87,995.87,-5.89226459369218,0.571,0.567,0.702987697715291,957.740805604203,1106.17283950617,-14.3835508092715,0.335,0.129,0.231,1793.26
2019-11-08,"",cmj,3,0,80.7167716615698,0.534,201.77815698,0.349672545,0.318509016914901,2.4998293765516,2013.88,2.65707244993932,4080.05556006444,1719,2.3735052705436,0.507,2413.15581854043,0.735,0.433345601244764,93.82402044,107.95413654,-14.0055953642202,1014.54,1047.4,-3.18728963985374,0.586,0.507,14.455626715462,1037.0819112628,1309.27021696252,-23.2009767353715,0.374,0.129,0.232,2011.71
2019-11-08,"",cmj,4,0,80.6960224260958,0.547,206.38802148,0.36690503625,0.333400092059349,2.55759844506608,2210.28,2.69060909710695,4166.3951171482,1727.95,2.41117805327017,0.444,3121.50900900901,0.675,0.493926062310146,95.1291011,111.25892038,-15.6305769727659,1023.72,1192.75,-15.2521802686253,0.451,0.442,2.01567749160135,1322.77161862528,1799.93212669683,-30.5607285856914,0.336,0.115,0.224,2199.41
