Z Left,Z Right
0.139526,-1.417246
-0.318238,-0.806894
1.207641,-0.34913
-1.233765,0.108633
-1.233765,-0.196542
-0.623413,-0.654306
-0.928589,-1.264658
-0.470825,-2.637949
1.817993,-1.569833
1.207641,-1.722421
-0.013062,-1.569833
0.444702,-0.806894
-1.844116,-0.806894
-0.623413,-0.501718
0.444702,-1.264658
-0.013062,-0.806894
0.292114,0.108633
1.207641,-0.34913
-0.470825,0.566397
-0.776001,-0.654306
-0.470825,0.108633
-0.776001,-0.959482
0.139526,-0.959482
1.207641,-0.959482
-0.013062,-1.417246
0.902466,-1.264658
1.512817,-1.569833
-0.318238,-1.722421
-0.318238,-1.569833
-0.318238,-2.027597
-1.386353,-1.417246
-0.16565,-1.417246
-0.470825,-0.959482
-0.776001,0.108633
0.902466,0.261221
0.902466,0.871573
-0.776001,-0.34913
0.902466,-0.043955
-0.776001,-0.806894
-2.607056,-1.264658
0.139526,-0.34913
0.59729,-1.569833
-0.318238,-1.417246
1.512817,-2.332773
-0.318238,-1.722421
-2.30188,-2.180185
-0.623413,-2.027597
-1.386353,-0.806894
-1.081177,-1.417246
1.665405,-0.501718
1.207641,0.261221
0.59729,0.108633
1.970581,0.261221
-1.233765,-0.043954
-1.538941,0.566397
-0.470825,-0.196542
-1.233765,0.261221
0.444702,-0.196542
1.360229,-1.417246
-0.623413,-2.332773
0.292114,-2.180185
1.055054,-1.722421
-1.233765,-2.027597
0.749878,-1.264658
1.207641,-0.959482
-0.318238,-1.417246
1.055054,-0.654306
0.59729,-1.11207
-0.776001,-0.501718
0.444702,0.718985
-0.318238,0.718985
-1.233765,1.024161
-0.318238,-0.34913
-0.928589,-0.196542
-0.776001,-0.654306
0.749878,-2.027597
0.444702,-1.722421
0.139526,-2.180185
1.360229,-1.722421
-0.318238,-1.722421
-0.776001,-1.264658
-0.470825,-2.180185
-0.776001,-1.722421
-1.691529,-1.417246
0.444702,-0.654306
-0.16565,-0.34913
-1.081177,0.566397
0.444702,0.718985
-0.928589,0.566397
-1.691529,-0.196542
0.292114,-0.501718
0.139526,-1.417246
-0.318238,-1.569833
1.970581,-1.264658
-0.470825,-2.180185
-1.233765,-1.569833
-0.623413,-3.2483
-1.996704,-3.2483
-1.538941,-2.790537
0.902466,-2.485361
-0.318238,-0.806894
0.749878,-1.417246
0.902466,-0.043955
-1.386353,-0.34913
-1.538941,0.261221
0.749878,0.871573
-1.386353,0.566397
0.749878,-0.196542
0.902466,-0.654306
-0.776001,-0.959482
0.292114,-1.11207
-0.013062,-2.027597
-1.844116,-2.027597
-0.776001,-3.095712
-0.013062,-2.943124
-1.233765,-2.332773
0.444702,-2.943124
-0.013062,-1.722421
-0.623413,-0.806894
0.749878,-0.196542
-0.928589,0.108633
-0.928589,0.413809
0.749878,1.481924
-1.538941,0.871573
-2.149292,1.024161
-1.233765,-0.959482
-1.081177,-1.569833
-0.013062,-2.637949
1.207641,-2.943124
-0.470825,-2.332773
-1.691529,-2.943124
-0.776001,-2.027597
-1.386353,-2.790537
-0.776001,-2.485361
1.207641,-1.264658
1.055054,-1.569833
-0.470825,-0.043955
0.292114,0.108633
-1.691529,0.413809
-2.912232,0.871573
-1.081177,0.413809
-0.928589,0.413809
0.292114,-0.959482
1.970581,-0.959482
0.59729,-1.417246
-0.318238,-0.806894
-0.16565,-1.569833
-1.844116,-2.485361
-0.470825,-2.027597
1.360229,-3.858652
-0.776001,-3.400888
-0.013062,-2.332773
0.139526,-1.11207
-1.844116,0.261221
-0.776001,0.261221
-0.16565,0.413809
-1.233765,0.261221
0.292114,-0.196542
0.749878,-0.043954
-1.233765,-0.959482
1.360229,-0.34913
1.055054,-0.959482
-1.081177,-1.11207
0.59729,-1.264658
-0.623413,-1.875009
-2.454468,-2.637949
-0.928589,-3.2483
-1.081177,-2.180185
-1.233765,-2.485361
1.665405,-1.875009
-0.470825,-0.806894
-1.691529,-0.654306
0.139526,-0.043955
-1.386353,-0.34913
-1.538941,0.413809
0.59729,0.871573
-0.623413,0.108633
-0.470825,0.108633
1.055054,-1.11207
-1.233765,-1.417246
-2.149292,-2.790537
-0.928589,-2.943124
-1.386353,-2.790537
-1.081177,-2.485361
0.749878,-1.722421
-0.013062,-2.637949
0.292114,-2.027597
0.444702,-1.875009
-0.928589,-1.11207
-0.928589,0.413809
0.139526,0.718985
-0.623413,1.329337
-0.928589,0.413809
-0.013062,0.108633
-0.623413,0.261221
-0.013062,-0.654306
0.59729,-0.959482
-0.623413,-1.722421
-0.623413,-1.722421
0.749878,-1.569833
-0.928589,-2.180185
0.444702,-1.722421
1.665405,-2.790537
0.902466,-1.722421
0.902466,-1.722421
0.902466,-0.043955
-1.996704,0.566397
-1.386353,0.261221
0.292114,0.413809
-1.538941,0.108633
1.207641,0.261221
1.512817,0.261221
-0.623413,0.108633
0.444702,0.108633
-0.928589,-1.11207
-1.996704,-1.569833
1.207641,-2.332773
1.207641,-2.332773
-0.318238,-1.417246
1.665405,-1.722421
-0.318238,-1.11207
-1.233765,-0.806894
-0.470825,-1.11207
-1.691529,-0.196542
-1.691529,-0.959482
1.512817,0.413809
-0.623413,-0.501718
0.139526,-0.34913
0.902466,-0.043954
-1.081177,-0.196542
-0.470825,0.261221
0.749878,-1.264658
0.292114,-1.11207
-0.928589,-2.790537
-0.013062,-2.180185
-1.081177,-1.11207
-0.16565,-0.654306
1.055054,-0.34913
-0.623413,-1.417246
-0.470825,-1.417246
-0.16565,-1.264658
-0.928589,-0.806894
-0.318238,-0.043955
0.292114,-0.043954
0.139526,-0.34913
1.512817,-0.196542
1.665405,-0.959482
-0.470825,-0.196542
-1.538941,-0.043954
-1.233765,-0.654306
-1.538941,-1.875009
-0.623413,-1.417246
2.123169,-1.417246
0.59729,-1.875009
1.512817,-0.959482
0.59729,-2.180185
-1.386353,-0.806894
-0.623413,-0.959482
-0.318238,-0.806894
-0.928589,0.261221
1.207641,-1.417246
1.817993,-0.806894
-1.081177,-1.264658
-0.318238,-1.11207
-1.538941,-0.806894
-2.912232,-0.654306
1.207641,-0.043955
0.292114,-1.417246
-0.776001,-0.959482
1.970581,-1.722421
0.444702,-1.264658
-0.928589,-0.654306
0.902466,-0.196542
-0.928589,-0.043954
-1.081177,-0.043954
0.749878,-0.806894
-1.081177,-0.959482
-1.691529,-1.569833
0.902466,-1.11207
-0.776001,-0.959482
0.139526,-0.806894
1.817993,-0.34913
-1.081177,-0.501718
-0.470825,0.108633
0.292114,-0.959482
-0.928589,-0.959482
0.749878,-1.11207
1.512817,-0.806894
-0.16565,-0.196542
0.139526,-0.654306
-0.470825,-0.501718
-2.30188,-1.11207
-0.776001,-0.959482
-0.470825,-2.027597
-0.318238,-2.180185
1.207641,-2.332773
1.360229,-1.264658
-0.16565,-0.654306
-0.776001,-1.11207
-1.081177,-1.264658
-1.538941,-1.11207
0.139526,-0.806894
0.59729,-0.34913
-0.470825,-0.501718
-0.16565,-0.501718
-0.623413,-0.34913
-1.996704,-0.654306
-1.691529,-1.264658
-1.386353,-1.722421
-1.233765,-1.11207
1.360229,-1.569833
0.444702,-1.875009
-0.776001,-0.806894
0.444702,-1.722421
-0.470825,-1.264658
-1.386353,-1.875009
-0.470825,-1.722421
-0.776001,-1.264658
-2.30188,-1.11207
-0.16565,-0.043955
-0.776001,-0.654306
-1.081177,-0.34913
0.59729,-0.959482
-0.623413,-0.806894
-1.081177,-0.196542
1.207641,-0.806894
-0.928589,-0.806894
-1.233765,-1.722421
0.292114,-2.790537
-0.776001,-2.027597
0.292114,-2.790537
1.055054,-1.875009
-1.691529,-1.264658
-2.149292,-1.264658
-0.16565,-1.11207
-1.691529,-0.806894
0.139526,-0.196542
1.817993,-0.34913
0.292114,-0.196542
0.902466,-0.654306
-0.16565,-0.34913
-2.454468,0.108633
-0.776001,-0.34913
-0.470825,-0.959482
-0.623413,-1.569833
1.512817,-2.637949
0.444702,-2.637949
-1.538941,-2.332773
-0.013062,-1.11207
-1.233765,-1.722421
-1.691529,-1.875009
-0.470825,-1.722421
-0.16565,-1.417246
-0.470825,-0.501718
1.360229,-0.501718
0.292114,0.413809
-1.386353,0.261221
-0.776001,-0.043955
-1.081177,0.108633
-1.233765,-0.654306
-0.623413,-0.959482
-0.776001,-1.875009
-1.233765,-1.417246
0.59729,-1.722421
0.139526,-2.332773
-0.928589,-2.180185
0.139526,-3.095712
-0.928589,-2.332773
-1.844116,-2.027597
-0.013062,-1.264658
-0.776001,-0.34913
-0.470825,-0.196542
1.055054,0.871573
-0.623413,0.108633
-1.691529,1.176749
-0.776001,0.108633
-1.538941,-0.806894
-1.691529,-0.34913
0.59729,-1.417246
-0.013062,-1.264658
0.444702,-2.027597
1.360229,-2.637949
-0.928589,-2.790537
-1.691529,-3.400888
0.292114,-2.637949
-1.538941,-2.485361
-0.928589,-1.569833
0.902466,-0.196542
-0.928589,-0.34913
0.292114,-0.043955
0.139526,-0.043955
-1.386353,0.871573
-0.623413,1.024161
-0.16565,-0.043955
-0.776001,-0.043954
0.444702,-2.180185
1.055054,-1.264658
-0.776001,-1.875009
0.749878,-2.332773
-0.16565,-3.2483
-1.691529,-2.790537
-0.928589,-2.180185
-0.623413,-1.875009
-0.776001,-0.959482
-0.013062,-1.11207
0.59729,-0.196542
-0.16565,0.261221
1.207641,0.566397
-0.318238,1.176749
-1.081177,1.176749
-0.013062,1.329337
-0.928589,0.261221
-1.081177,-1.11207
1.207641,-1.417246
0.292114,-1.875009
-1.233765,-1.417246
-0.16565,-1.875009
-1.386353,-2.485361
-1.844116,-2.637949
0.444702,-2.943124
-0.318238,-2.027597
-0.623413,-1.722421
1.817993,-0.654306
0.902466,-0.34913
-0.928589,0.261221
-0.318238,0.718985
-1.538941,0.566397
-2.149292,0.871573
0.444702,-0.043955
-0.013062,-0.806894
-0.623413,-0.806894
1.207641,-1.569833
-1.081177,-0.959482
-0.776001,-1.722421
0.444702,-2.332773
-1.081177,-3.553476
-0.623413,-3.400888
1.512817,-2.027597
-0.470825,-2.180185
0.749878,-0.959482
1.360229,-0.043955
-1.386353,-0.043955
-0.776001,1.024161
-0.16565,0.413809
-1.081177,0.718985
-0.318238,0.108633
0.59729,-0.196542
-0.318238,0.261221
1.512817,-1.417246
1.360229,-0.34913
-1.081177,-2.027597
-0.318238,-2.637949
-0.470825,-2.332773
-1.233765,-2.790537
-0.318238,-1.264658
0.139526,-1.875009
-0.623413,-0.501718
0.749878,-0.654306
-0.013062,-1.11207
-1.691529,0.566397
-0.470825,0.261221
-1.081177,1.024161
-1.081177,0.413809
1.055054,0.871573
1.055053,-0.501718
0.139526,-1.264658
0.59729,-1.264658
-1.233765,-2.790537
-1.996704,-2.027597
-0.623413,-2.485361
0.292114,-1.11207
-1.233765,-0.959482
1.360229,-2.332773
0.292114,-1.11207
-0.776001,-1.11207
1.360229,-0.34913
-0.623413,0.108633
-1.691529,0.566397
0.902466,0.566397
-0.013062,-0.043954
-0.928589,0.566397
0.902466,-0.043955
-0.318238,-1.11207
-1.233765,-0.654306
-0.013062,-1.875009
-1.233765,-1.875009
-0.928589,-1.875009
0.902466,-1.875009
-0.470825,-1.417246
0.749878,-1.569833
1.665405,-1.11207
-0.470825,-1.569833
-0.776001,-0.959482
0.902466,-0.043955
-1.844116,0.108633
-1.081177,-0.043955
-0.16565,-0.654306
-1.233765,-0.501718
0.749878,0.108633
2.123169,-0.806894
-1.233765,-0.501718
-0.470825,-1.417246
0.139526,-1.569833
-0.928589,-1.875009
0.59729,-1.875009
0.444702,-1.722421
-0.013062,-1.417246
0.444702,-1.264658
0.292114,-1.417246
-1.386353,-1.11207
-1.081177,-1.264658
-0.928589,-0.959482
-1.386353,-0.501718
-0.318238,-1.264658
0.59729,-0.806894
0.444702,-0.654306
0.749878,-0.196542
0.292114,-0.34913
-1.691529,-1.417246
-0.470825,-1.722421
-0.623413,-1.875009
-1.233765,-0.654306
-0.013062,-1.264658
-0.318238,-1.417246
-0.776001,-0.806894
0.444702,-1.264658
-0.318238,-0.654306
-2.149292,-1.875009
-0.776001,-1.722421
-0.318238,-1.569833
-1.233765,-1.11207
0.902466,-0.501718
1.055054,-0.043955
-1.538941,-1.417246
0.444702,-1.264658
-1.691529,-1.722421
-2.149292,-1.11207
-0.470825,-1.722421
-1.386353,-1.417246
-1.538941,-1.417246
1.817993,-1.569833
0.444702,-0.959482
-0.776001,-1.417246
0.59729,-1.569833
-2.149292,-1.569833
-1.538941,-1.569833
0.749878,-1.569833
-1.233765,-1.722421
-0.623413,-0.806894
0.292114,-1.264658
-1.233765,-0.959482
-0.623413,-0.959482
-0.013062,-0.959482
-1.386353,-0.34913
-0.776001,-1.417246
0.902466,-0.501718
-0.16565,-1.264658
0.749878,-1.417246
0.902466,-0.959482
-1.233765,-1.569833
-0.776001,-0.959482
-0.776001,-1.264658
-1.233765,-0.959482
-0.623413,-1.569833
-0.623413,-2.637949
-1.233765,-1.417246
0.444702,-1.722421
1.360229,-1.264658
-0.470825,-1.264658
-0.623413,-0.654306
-0.16565,-0.501718
-1.233765,-0.806894
-0.623413,-0.34913
0.59729,-1.264658
-0.776001,-1.11207
-0.16565,-0.806894
0.139526,-0.501718
-1.996704,-0.196542
-0.623413,-0.654306
-0.928589,-1.875009
-1.996704,-2.790537
0.292114,-2.790537
1.970581,-1.722421
0.292114,-1.722421
0.59729,-1.569833
-1.386353,-1.722421
-3.06482,-1.569833
-0.318238,-1.11207
-0.013062,-1.875009
-2.454468,-0.34913
0.292114,-0.34913
-0.470825,-0.196542
-0.928589,-0.043955
1.207641,-0.043954
-0.776001,-0.196542
-2.149292,-0.959482
-0.013062,-2.027597
-0.318238,-1.722421
-0.470825,-2.485361
1.970581,-0.959482
-0.776001,-1.875009
-1.844116,-1.875009
0.444702,-2.637949
-1.844116,-1.722421
-1.081177,-0.959482
-0.013062,-0.959482
-1.386353,0.566397
-0.013062,-0.043955
1.055054,0.413809
0.749878,-0.043954
1.207641,-0.043955
0.292114,-0.501718
-1.996704,-0.959482
-0.776001,0.108633
0.59729,-1.875009
-0.318238,-1.264658
0.139526,-2.332773
-0.013062,-2.637949
-0.318238,-1.875009
0.292114,-2.790537
-0.16565,-1.417246
-1.996704,-0.34913
-0.16565,-0.501718
0.902466,0.261221
0.902466,-0.196542
1.207641,0.871573
0.139526,0.108633
-1.233765,-0.34913
-0.470825,0.718985
-0.928589,-0.34913
-1.081177,0.108633
-0.16565,-0.959482
-0.318238,-1.417246
-0.623413,-2.027597
1.055053,-2.637949
0.749878,-1.875009
-1.233765,-2.485361
-0.776001,-2.027597
-0.928589,-1.569833
-1.844116,-1.264658
0.749878,-0.654306
0.749878,0.108633
-0.623413,1.329337
0.749878,1.024161
-0.776001,1.481924
-2.30188,0.871573
0.139526,-0.501718
-0.776001,-0.654306
-0.623413,-1.722421
1.207641,-1.569833
0.59729,-1.569833
-0.013062,-2.485361
1.970581,-1.569833
-1.081177,-2.943124
-1.996704,-1.264658
-0.16565,-2.180185
-1.691529,-1.722421
-0.470825,-0.34913
1.817993,-0.654306
-0.16565,0.413809
0.444702,1.024161
0.292114,0.718985
-1.081177,1.024161
0.902466,-0.043955
0.902466,-0.043954
-1.233765,-1.11207
-0.318238,-1.264658
1.207641,-2.180185
-0.470825,-2.027597
0.749878,-2.332773
-0.928589,-3.095712
-1.996704,-2.332773
0.139526,-2.180185
-0.013062,-0.959482
-0.623413,0.413809
1.360229,0.261221
1.512817,0.718985
0.139526,0.261221
1.055054,0.413809
-1.081177,0.718985
-2.30188,-0.043955
-1.081177,-0.043955
-0.928589,-1.11207
-0.470825,-0.806894
1.512817,-1.417246
0.139526,-2.180185
-1.538941,-1.875009
-0.013062,-2.637949
-0.318238,-2.332773
-0.928589,-2.332773
0.749878,-0.959482
-0.776001,-0.501718
-1.081177,-0.501718
1.512817,0.413809
0.292114,0.718985
-1.538941,1.634512
-1.233765,1.481924
-1.233765,1.024161
-1.081177,0.261221
0.749878,-0.806894
-0.16565,-1.417246
-0.013062,-1.875009
1.970581,-2.332773
0.139526,-1.722421
-0.16565,-2.485361
0.292114,-1.875009
-1.233765,-2.332773
-0.776001,-1.875009
1.055054,-1.875009
-0.318238,-0.959482
0.444702,0.413809
0.59729,0.261221
-1.691529,2.397452
-0.776001,1.481924
0.292114,0.413809
-1.233765,-0.043954
0.59729,-1.11207
1.055054,-1.11207
-0.470825,-1.875009
1.055054,-1.264658
-0.318238,-2.485361
-1.691529,-2.180185
-0.318238,-2.485361
-1.081177,-4.01124
-1.081177,-2.180185
-0.013062,-2.332773
-0.318238,-0.501718
-0.776001,-0.043955
1.055053,-0.196542
-0.623413,0.261221
-1.844116,-0.196542
-0.16565,-0.196542
-0.776001,0.108633
-1.233765,-0.196542
0.292114,-0.501718
-0.623413,-1.722421
-0.776001,-1.875009
-0.013062,-1.875009
-1.233765,-2.485361
-2.30188,-2.485361
-0.776001,-2.332773
-0.623413,-1.417246
-0.928589,-2.027597
2.123169,-0.34913
0.902466,-0.501718
-0.470825,-0.043955
-0.318238,0.718985
-1.386353,-0.196542
-1.844116,0.261221
-0.013062,0.108633
-1.233765,0.108633
-0.623413,-0.196542
1.055054,-1.722421
-0.318238,-1.417246
-1.538941,-3.095712
-0.16565,-2.332773
-1.844116,-2.485361
-0.776001,-2.027597
1.207641,-0.959482
-0.16565,-1.875009
0.292114,-1.264658
1.207641,-1.417246
-1.691529,-0.806894
-1.081177,-0.043955
-0.013062,-0.043955
-1.844116,0.261221
-0.623413,0.108633
0.444702,0.261221
-1.081177,-0.806894
0.902466,-0.654306
1.512817,-0.959482
-1.233765,-2.485361
-0.013062,-1.722421
-0.776001,-2.027597
-1.538941,-1.875009
0.444702,-1.722421
-1.538941,-2.790537
-0.623413,-1.11207
0.902466,-0.34913
-0.470825,0.261221
-1.386353,0.871573
-0.470825,-0.654306
-1.233765,-0.196542
-1.386353,-0.806894
0.902466,-0.654306
0.292114,-0.34913
-0.318238,-0.196542
1.360229,-0.34913
-1.386353,-1.722421
-2.454468,-1.722421
-0.776001,-2.180185
-1.386353,-1.875009
-0.928589,-1.722421
-0.318238,-1.569833
0.139526,-1.417246
-0.318238,-0.806894
0.749878,-0.501718
-1.233765,-1.11207
-1.386353,-0.959482
-0.470825,-0.806894
-0.318238,-1.417246
-0.623413,-0.34913
1.207641,-0.196542
-0.776001,-0.959482
-0.928589,-0.501718
-0.470825,-1.722421
-1.538941,-0.806894
-0.776001,-1.569833
0.139526,-0.959482
-1.081177,-0.959482
-0.318238,-0.806894
1.817993,-0.196542
-0.16565,-1.11207
0.292114,-1.264658
0.749878,-1.264658
-1.996704,-2.027597
-0.470825,-1.722421
-0.013062,-0.806894
-1.691529,-0.959482
0.444702,-1.417246
0.902466,-0.806894
-0.928589,-0.959482
0.749878,-0.501718
-0.623413,0.261221
-1.996704,-0.043954
0.749878,-0.34913
-0.470825,-0.196542
-0.623413,-0.501718
1.665405,-0.196542
-0.013062,-0.34913
-1.538941,-0.501718
-0.16565,-1.264658
-1.844116,-1.722421
-1.691529,-1.264658
0.749878,-2.027597
-0.776001,-1.417246
-0.470825,-2.180185
1.207641,-1.417246
-0.013062,-0.654306
-0.776001,-0.501718
-0.013062,0.261221
-1.233765,-0.196542
-0.623413,-0.196542
0.292114,0.108633
-0.470825,-0.806894
0.292114,0.108633
0.444702,0.108633
-1.081177,-0.34913
-0.318238,-0.959482
-0.623413,-2.180185
-1.233765,-1.875009
-0.013062,-2.790537
1.055054,-1.264658
0.59729,-2.332773
1.055054,-1.11207
1.360229,-0.501718
-0.928589,-0.043955
-1.081177,0.413809
-0.470825,0.413809
-1.233765,1.024161
-0.318238,0.566397
0.59729,0.566397
-0.013062,0.413809
0.444702,-0.196542
0.444702,-0.806894
-1.386353,-1.722421
-0.623413,-2.180185
-0.16565,-2.790537
-1.081177,-2.637949
1.055054,-2.027597
1.360229,-1.417246
-0.928589,-0.806894
0.444702,-0.654306
-1.386353,-1.264658
-2.607056,-0.501718
-0.013062,0.108633
-0.470825,1.176749
-1.233765,1.024161
1.207641,0.718985
0.139526,1.024161
-0.776001,-0.34913
1.665405,-0.34913
-0.318238,-1.11207
-1.233765,-1.722421
0.292114,-1.875009
-0.928589,-2.027597
-0.928589,-1.722421
1.512817,-2.332773
0.139526,-2.027597
-0.623413,-1.722421
0.902466,-0.34913
-1.844116,0.566397
-0.470825,0.413809
0.444702,0.871573
-1.233765,0.566397
1.512817,0.718985
2.123169,-0.043955
-0.928589,-0.959482
0.292114,-0.959482
-0.623413,-1.264658
-2.454468,-1.11207
-0.318238,-1.417246
0.292114,-2.790537
-0.776001,-2.637949
0.902466,-2.790537
1.207641,-1.722421
-0.623413,-0.501718
-0.16565,-0.654306
-0.318238,0.261221
-0.928589,0.261221
0.139526,0.718985
-0.16565,0.413809
-0.16565,0.413809
0.902466,1.481924
-0.470825,0.413809
-1.386353,0.566397
-0.623413,-0.806894
-0.928589,-0.959482
-1.538941,-1.722421
0.292114,-2.485361
-0.013062,-2.332773
-0.623413,-2.943124
1.055054,-1.722421
0.59729,-1.569833
-1.233765,-0.959482
0.139526,-0.501718
-0.623413,-0.501718
-1.386353,-0.196542
-0.013062,0.261221
-0.318238,1.329337
-1.081177,1.329337
0.749878,0.108633
-0.928589,-0.501718
-1.538941,-1.569833
0.292114,-1.11207
-1.386353,-1.417246
-1.081177,-2.943124
1.512817,-2.180185
-0.16565,-2.943124
0.292114,-2.637949
1.207641,-1.875009
-1.691529,-1.264658
-1.386353,-0.34913
-0.318238,-0.34913
-1.844117,0.413809
-0.318238,1.176749
1.512817,1.176749
-0.623413,0.718985
0.292114,0.108633
0.139526,-0.806894
-1.844116,-1.264658
-0.16565,-1.11207
0.59729,-1.569833
-1.386353,-2.027597
1.055054,-2.180185
-0.623413,-3.400888
-1.691529,-3.095712
0.444702,-2.637949
-1.386353,-2.180185
-1.996704,-1.417246
0.59729,0.718985
-0.928589,0.871573
-0.776001,0.566397
0.749878,0.871573
-0.623413,0.413809
-0.776001,0.718985
0.139526,0.413809
-1.233765,-0.043954
-1.538941,-0.196542
-0.776001,-2.027597
-1.386353,-1.875009
-1.233765,-2.180185
0.749878,-2.790537
-0.16565,-2.180185
-1.233765,-1.875009
-0.470825,-1.264658
-1.233765,-1.569833
-1.538941,-1.417246
1.055054,-0.043955
-0.318238,-0.654306
0.139526,-0.043955
1.055054,0.413809
-0.16565,0.108633
-1.233765,0.718985
-0.928589,-0.34913
-2.149292,-0.806894
-1.386353,-1.875009
1.055054,-2.637949
0.292114,-2.027597
0.59729,-2.180185
1.207641,-0.959482
-0.16565,-1.722421
-1.081177,-1.11207
-0.16565,-1.569833
-0.928589,-1.569833
-0.013062,-0.806894
0.902466,-0.654306
-1.081177,0.108633
