Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N)
0.73,1.51,-0.09,-0.7,492.5,176.17,-0.33,2
-0.23,1.24,-0.12,-1.13,492.48,191.31,0.03,2.4
0.23,0.5,-0.49,-0.56,492.76,193.86,-0.4,2.1
-0.04,1.31,-0.33,-0.18,488.26,194.78,-0.35,2.08
0.22,0.98,-0.06,-0.18,485.19,193.65,-0.19,2.32
-0.04,0.51,-0.22,0.5,483.78,197.87,-0.43,2.24
-0.59,0.81,-0.64,0.5,482.47,201.31,-0.17,1.5
-0.77,1.05,-0.45,-0.34,478.6,205.44,-0.46,2.07
0.2,0.77,-0.4,0.39,474.24,205.4,-0.24,2.73
0.01,1.26,-0.15,-0.16,474.11,208.07,-0.21,2.43
0.2,1.29,-0.74,-0.1,475.67,210.6,-0.43,2.22
-0.2,1.34,-0.48,-0.2,474.58,215.52,0.05,1.75
0.47,1.26,-0.64,-0.15,470.3,217.36,-0.16,2.05
0.33,1.23,-0.58,-0.18,465.41,219.13,-0.18,2.27
0.5,1.87,-0.29,-0.37,462.61,222.06,-0.46,2.32
0.1,0.89,0.03,-0.31,461.59,226.08,-0.77,2.57
0.25,1.4,0.11,0.01,459.98,229.46,-0.36,2.38
0.42,1.29,-0.15,0.06,456.43,230.15,0.22,2.27
-0.02,1.12,0.19,0.01,454.9,228.37,-0.06,2.24
0,1.15,-0.14,0.26,452.53,229.61,-0.19,1.94
-0.3,1.25,0.2,0.12,450.72,231.36,-0.06,1.81
-0.43,0.68,0.06,0.25,448.55,232.98,-0.22,2.24
-0.05,1.08,0.19,0.25,445.68,232.5,-0.6,2.13
0.24,1.44,0.55,0.1,444.41,234.76,0.11,2.38
-0.16,0.98,-0.06,0.64,443.19,238.49,-0.33,2.43
0.4,0.97,-0.13,0.43,440.83,243.22,-0.06,1.99
0.51,1.08,0.53,0.62,437.28,246.62,0.05,2.32
0.75,0.8,0.19,0.1,434.04,248.83,0.08,2.62
0.54,1.02,-0.02,0.1,431.45,251.62,-0.11,2.27
0.43,0.99,0.33,0.15,428.87,254.88,-0.45,2.56
0,0.67,0.11,-0.34,426.97,255.44,-0.41,2.51
0.17,0.61,-0.02,0.58,423.9,257.03,0.05,2.46
-0.08,0.44,0.08,-0.25,421.82,258.09,-0.38,1.89
-0.25,0.79,0.08,0.23,418.99,261.24,-0.46,2.46
5.14E-04,0.31,-0.39,-0.28,417.11,264.92,-0.49,2.21
-0.46,0.66,-0.1,0.07,414.19,267.11,-0.03,2.57
-0.08,0.71,-0.59,-0.11,411.94,270.64,0.08,2.24
0.05,0.68,-0.34,0.32,409.95,273.24,-0.49,1.97
0.19,0.9,-0.45,0.43,407.52,275.79,-0.16,2.13
0.43,0.82,-0.56,-0.08,405.35,277.55,-0.25,2.1
0.28,0.76,-0.58,0.32,402.22,280.26,-0.46,2
0.3,0.68,-0.87,0.3,399.34,282.25,-0.27,2.38
0.58,1.19,-0.66,0.41,397.19,283.28,0.33,2.54
1.03,0.97,-0.58,0.3,395.34,284.86,0.18,2.46
0.96,0.81,-0.71,-0.06,392.73,286.47,-0.54,2.05
0.63,1.06,-0.42,0.1,389.53,288.32,-0.46,1.94
0.66,1.08,-0.56,0.05,387.11,289.82,-0.3,2.13
0.41,0.63,-0.29,0.24,384.67,291.68,-0.3,2.11
0.73,1.13,-0.05,0.13,382.6,294.31,-0.25,2.08
0.86,0.51,0,-0.13,379.56,296.69,-0.44,2.27
0.6,0.84,-0.15,0.16,377.39,298.47,-0.35,2.27
0.19,0.32,-0.15,-0.13,374.51,301.46,0.07,2.02
0.54,0.51,-0.26,0.08,371.56,303.28,-0.19,2
-0.42,0.73,0.2,0.49,368.23,304.61,-0.22,2.27
0.54,0.48,-0.32,-0.05,365.68,306.32,-0.35,2.4
-0.1,0.24,-0.39,0.27,363.07,307.99,-0.19,2.27
0.04,0.84,-0.37,-0.1,360.89,309.78,-0.19,2.43
0.59,-0.09,0.25,0.63,357.99,311.65,-0.03,2.6
0.28,0.48,0.52,0.38,355.12,313.27,0.3,2.24
0.6,0.65,0.71,0.46,351.87,316.01,-0.3,2.41
0.01,0.51,0.71,0.03,349.74,318.37,-0.23,2.29
0.08,0.16,0.47,0.36,347.04,319.76,-0.21,2.46
0.19,0.62,0.33,0.14,344.46,321.8,-0.78,2.14
0.03,0.27,0.15,-0.05,342.2,323.78,-0.09,2.32
-0.27,0.71,0.47,-0.29,339.85,325.57,-0.28,2.48
-0.4,0.78,0.45,0.25,337.34,327.61,-0.06,2.47
-0.34,0.68,0.18,-0.21,335.38,329.6,-0.16,2.38
0.17,0.46,0.05,0.63,331.96,331.09,-0.43,2.57
0.24,0.57,0.04,0.6,329.1,333.53,-0.06,2.19
-0.16,0.44,-0.22,0,327.33,335.6,-0.03,2.08
-0.27,1.01,-0.11,-0.29,325.32,337.83,-0.73,2.35
-0.02,0.25,-0.27,-0.13,322.91,339.21,-0.14,1.94
-0.16,0.71,-0.62,-0.08,320.22,340.95,-0.01,2
0.06,0.57,0.02,-0.16,317.96,343.29,-0.02,2.27
0.14,0.22,-0.43,0.42,315.35,344.71,-0.08,2.78
-0.07,1.07,-0.49,-0.07,313.32,346.88,-0.45,2.13
0.38,1.07,-0.29,0.14,311.44,347.67,0.22,1.86
0.04,0.82,-0.65,0,309.37,349.35,0.24,2.38
0.41,0.55,-0.46,0.39,306.64,350.2,-0.41,2.16
0.35,0.85,-0.27,-0.15,304.71,351.34,-0.06,2.05
0.17,1.02,-0.73,0.38,302.28,353.01,0.27,2.41
-0.02,1.02,-0.8,0.49,300.17,354.37,-0.35,2.11
0.17,0.64,-0.53,0.52,298.38,355.43,0.21,1.62
0.2,0.91,-0.69,0.33,295.94,356.09,-0.33,1.56
0.55,0.34,-0.86,0.6,294.5,358.05,-0.17,2.19
0.17,0.45,-0.08,0.58,291.83,359.33,-0.13,1.94
0.04,0.44,-0.31,0.52,290.43,360.09,0.1,2.75
0.28,0.73,-0.26,0.31,288.71,361.59,-0.27,1.86
0.07,0.52,-0.12,0.29,286.48,363.02,-0.41,2.1
0.47,0.59,0.12,0.14,284.39,364.76,-0.22,2.32
0.19,0.68,-0.4,-0.15,282.5,365.16,-0.52,1.94
0.22,0.71,0.12,-0.12,280.55,366.82,-0.13,1.51
0.17,0.11,-0.44,0.01,278.27,368.01,-0.05,1.42
-0.31,0.06,-0.42,0.64,276.53,369.77,-0.64,1.88
0.01,0.44,-0.56,-0.15,274.36,370.85,-0.59,1.58
0.14,0.01,-0.04,-0.09,272.14,372.43,-0.35,1.5
-0.31,0.22,-0.39,-0.12,270.13,373.43,-0.06,1.75
-0.11,0.28,-0.71,-0.06,268.31,374.1,-0.32,1.99
-0.4,0.42,-0.7,0.09,266.5,375.3,-0.29,2.1
-0.4,0.91,-0.65,-0.39,264.13,375.98,-0.25,2.02
-0.37,0.72,-0.57,-0.04,262.41,376.08,-0.55,1.77
-0.08,0.63,-0.37,0.37,260.35,377.3,-0.83,1.59
-0.12,1.2,-0.23,0.09,258.75,377.74,-0.47,1.75
-0.11,0.64,-0.54,0.1,257,377.93,-0.16,2.02
-0.21,0.39,-0.5,0.04,254.23,378.88,-0.59,1.8
-0.39,0.75,-0.19,-0.26,253,379.42,-0.14,1.82
-0.04,0.56,-0.32,-0.12,251.38,379.91,0.26,1.91
0.01,0.69,-0.52,0.01,250,380.14,-0.08,1.86
0.2,0.62,-0.36,0.53,248.35,380.25,-0.19,2
-0.25,0.92,-0.57,0.18,246.22,380.51,-0.24,2.16
-0.09,0.56,-0.49,-0.18,244.9,381.03,-0.08,1.77
-0.01,1,-0.66,-0.28,244.12,381.22,-0.41,1.86
0.1,1.16,-0.74,0.13,242.16,381.95,-0.06,2.24
-0.23,0.87,-0.6,0.1,241.07,382.17,-0.3,2.05
-0.12,1.33,0.1,0.83,239.69,382.99,-0.54,1.83
-0.04,0.68,0.17,0.18,238.45,383.28,-0.01,2.62
0.09,0.78,-0.41,0.37,237.82,383.49,-0.25,2.32
0.04,0.68,-0.03,-0.06,236.97,383.44,-0.17,1.91
0.45,1.14,-0.46,0.35,235.99,384.36,-0.25,1.83
0.12,1.33,-0.06,0.1,235.34,384.79,0.01,2.45
0.14,0.95,-0.27,-0.12,234.1,384.9,-0.32,2.51
0.36,0.66,-0.1,0.24,233.38,385.25,0.03,2.35
-0.02,0.9,0.01,-0.48,232.51,384.71,-0.09,2.15
0.15,0.46,0.01,0.53,231.29,385.23,-0.62,1.72
