Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N)
668.35,2.23,-0.76,1.2,351.75,339.69,456.81,1.43
668.94,2.78,-0.49,1.53,351.55,340.13,459.71,1.4
669.95,2.65,-0.54,1.77,351.14,340.51,462.63,1.46
671.11,2.4,-0.36,1.98,351.25,339.77,463.79,1.73
672.04,2.48,-0.38,1.65,350.77,340.13,466.5,1.79
672.99,2.43,-0.06,1.79,350.87,340.43,468.87,2.11
674.3,2.75,-0.46,1.71,350.68,340.89,471.25,2.58
674.97,2,-0.04,1.47,350.55,340.27,473.35,2.34
675.49,2.1,-0.12,1.98,350.02,340.62,475.23,2.53
676.27,2.21,-0.38,1.87,349.88,340.67,477.82,2.45
677.42,2.35,-0.4,1.78,350.42,340.26,479.89,2.99
677.86,1.77,0.14,1.91,349.48,340.89,481.22,2.48
678.23,1.8,0.08,1.88,349.73,340.63,483.51,2.42
678.52,2.18,-0.35,1.91,349.7,340.6,485.58,2.67
679.41,1.14,-0.54,1.44,349.45,340.7,487.63,2.31
680.02,1.92,-0.08,1.8,348.98,340.73,488.95,2.67
680.56,1.49,-0.32,1.56,348.96,340.52,490.38,2.8
681.36,1.51,-0.42,1.69,348.99,340.81,492.1,2.42
681.71,1.62,-0.18,2.04,348.61,340.35,493.91,2.81
682.66,0.91,-0.33,2,348.77,339.82,495.36,2.81
683.16,1.57,-0.49,1.85,348.74,339.98,497.3,2.76
683.37,1.63,-0.4,1.23,348.94,340.06,498.41,3.03
684.09,1.93,-0.43,2.08,348.27,340.19,499.92,2.78
684.82,1.93,-0.38,1.58,348.4,339.65,501.92,2.38
685.14,1.44,-0.54,1.89,348.58,339.92,503.38,2.35
685.71,2.07,-0.43,1.82,348.67,339.82,504.75,2.19
686.31,1.36,-0.38,2.04,347.97,339.44,506.29,1.97
686.91,1.5,-0.17,2.29,348.45,339.3,507.77,2.26
687.39,1.03,-0.54,2.34,348.35,339.24,509.1,2.38
687.7,0.9,-0.33,2.1,348.72,338.89,511.1,2.41
688.45,0.43,-0.92,2.18,348.57,338.92,511.72,2.62
688.61,0.84,-0.54,2.53,348.54,339.09,513.55,2.46
688.8,0.24,-0.11,2.23,348.7,339.44,515.09,1.84
689.12,0.34,-0.24,2.15,349,339.21,516.18,2.82
689.15,0.8,-0.08,1.56,348.53,339.32,518.04,2.47
688.96,0.36,-0.38,1.5,349.04,338.7,519.81,3.25
689.23,0.63,-0.86,2.07,349.32,338.59,521.08,3.25
689.12,0.96,-0.46,2.34,348.78,338.64,522.33,3.39
689.15,0.61,-0.57,2.28,348.94,338.78,524.53,3.41
689.61,0.66,-0.39,2.45,349.55,338.72,526.16,3.18
689.51,0.75,-0.27,2.1,349.44,338.21,527.53,3.06
689.1,0.72,-0.62,1.78,349.35,338.21,529.26,2.84
689.37,0.72,-0.09,1.82,348.73,338.32,531.52,2.73
688.85,0.97,-0.16,2.64,349.42,338.18,532.7,2.54
688.56,0.75,-0.46,2.51,349.45,338.04,534.75,2.52
688.58,0.97,-0.54,2.34,349.67,337.76,536.96,2.32
687.99,1.16,-0.87,2.45,349.51,338.09,539.11,2.64
687.43,0.95,-0.11,2.75,349.56,337.22,541.15,2.21
686.25,1.11,-0.17,2.21,349.88,337.3,543.22,2.4
685.71,1.43,-0.6,2.53,349.13,337.12,545.19,2.24
685.63,1.41,-0.79,2.21,349.62,337.11,547.21,2.7
684.55,1.52,-0.77,2.02,350.1,336.35,549.26,2.19
683.24,1.41,-1.06,2.56,349.79,336.92,551.65,1.86
683.18,1.2,-0.69,2.34,349.53,336.73,554.66,2.05
681.54,0.65,-1.27,2.62,350.2,336.3,557.11,2.08
681.29,1.4,-1.48,2.64,349.85,336.15,559.16,2.62
680.6,1.33,-0.84,2.92,349.94,335.4,562.7,2.11
680.09,0.84,-1.01,2.24,350.34,335.73,564.38,2.29
679.13,0.89,-0.64,2.4,350.28,335.83,566.57,2.13
678.24,1.27,-1.12,2.7,350.56,335.54,569.4,2.1
678.05,1.65,-0.9,2.51,350.24,335.05,572.41,2.23
677.11,1.68,-0.33,2.48,350.34,335.51,574.86,1.81
676.67,1.52,-0.76,2.65,351.18,335.32,577.3,2.05
675.53,1.82,-0.71,2.43,351.05,334.86,580.05,2.02
675.39,1.99,-0.25,2.45,350.45,334.74,582.85,2.53
674.59,1.66,-0.09,2.43,350.73,335.02,585.3,2.13
674.13,1.79,-0.44,2.92,350.67,334.94,587.98,2.53
673.06,1.88,0.05,2.18,350.51,334.55,591.47,2.72
672.9,1.8,0.13,1.96,350.03,334.56,593.98,2.48
672.08,2.12,0.38,2.21,350.62,334.15,596.74,1.8
671.2,2.64,0.11,2.7,350.65,334.61,599.53,2.32
671.1,2.12,-0.32,2.5,350.51,333.85,602.34,1.83
670.03,2.42,0.16,2.56,350.41,334.48,605.43,1.83
669.86,2.31,0.75,2.4,350.41,334.42,607.49,1.34
668.84,2.34,-0.06,2.57,350.33,334.17,610.23,1.28
668.31,1.85,0.11,2.21,350.23,334.23,613.31,1.44
667.74,2.29,-0.15,2.27,349.66,333.83,615.48,1.15
666.93,2.53,-0.1,2.34,349.69,333.93,617.41,1.31
666.36,1.63,-0.02,1.82,349.13,334.2,620.63,0.96
665.92,2.23,0.09,1.93,349.77,333.41,623.68,1.26
665.36,2.32,-0.16,1.96,349.67,333.55,625.66,0.9
665.36,1.99,0.46,1.85,349.59,333.93,628.24,1.56
664.21,2.24,0.4,2.2,349.56,333.77,630.76,1.45
664.37,2.27,0.33,1.96,348.87,333.47,632.84,1.17
663.81,1.96,0.19,1.93,349.56,332.81,635.11,0.98
663.25,1.99,0,1.98,348.98,333.3,637.51,1.88
662.27,2.39,-0.16,1.68,349.36,333.06,639.93,1.15
662.49,2.37,0.19,1.47,349.88,333.23,641.71,1.07
661.44,2.18,-0.11,1.96,349.11,332.76,643.48,1.42
661.23,2.13,-0.27,1.77,349.04,332.87,646.48,1.44
660.35,2.45,-0.67,1.26,349.34,332.82,647.97,1.17
660.32,2.36,-0.43,1.85,348.85,332.46,650.04,1.5
659.33,2.5,-0.36,1.66,348.83,332.92,652.21,1.91
658.85,1.68,-0.49,1.49,348.91,331.78,654.26,1.93
658.78,2.33,-0.16,1.52,348.35,332.19,655.79,2.23
658.43,2.29,-0.15,1.9,348.7,332.49,657.05,2.54
657.65,2.34,-0.16,2.03,348.62,332.13,659.1,2.75
657.52,2.15,-0.16,1.85,348.3,332.22,661.04,2.87
656.85,2.26,-0.48,1.44,348.55,331.22,662.57,2.6
656.13,2.45,0.11,1.95,348.22,331.54,663.92,2.92
656.08,1.91,0.02,1.79,348.23,331.46,665.91,2.06
655.6,2.25,-0.28,1.46,348.25,331.21,667.48,2.13
655.76,1.85,-0.17,1.6,348.04,331.16,668.58,1.89
655.25,2.07,-0.46,1.98,348.07,330.53,670.54,1.67
654.61,1.6,-0.54,1.43,347.83,330.16,672.36,1.45
654.41,1.74,-0.22,2.32,348.26,329.97,673.98,1.5
654.08,1.8,0.08,2.22,347.65,330.26,675.29,1.12
653.33,2.42,-0.03,1.86,347.45,329.72,676.84,1.28
653.26,1.91,-0.38,1.65,347.21,329.83,678.83,1.8
652.99,2.01,-0.7,2.08,347.29,329.53,679.45,2.37
653.21,2.23,0.02,1.86,346.76,329.07,681.06,2.29
652.48,1.6,-0.59,1.84,346.89,329.31,681.94,2.05
652.22,1.52,-0.03,1.97,346.94,328.88,683.49,2.21
651.71,1.5,0.13,2.26,347.94,328.58,684.8,2.24
651.2,1.47,-0.89,2.27,347.4,328.83,685.58,2.37
651.47,1.85,-0.22,2.18,346.67,328.77,686.91,2.18
651.21,1.6,-0.3,2.19,346.97,327.87,688.12,1.53
651.12,1.68,-0.35,2.37,347.26,328.14,689.01,1.44
651.13,1.8,-0.41,2.64,346.75,327.84,689.6,1.47
651.02,2.04,-0.64,2.23,347.13,327.66,690.6,1.11
650.96,1.88,0.16,2.59,347.21,327.87,691.3,0.81
650.41,2.09,-0.36,2.29,346.93,327.87,691.83,0.87
650.38,1.63,0.05,2.15,347.36,327.63,692.88,0.81
650.32,2.02,0.06,2.01,346.98,327.39,693.24,1.22
650.11,1.68,0.51,2.99,347.61,327.77,693.66,1.19
650.65,1.98,-0.03,2.2,347.31,327.98,694.85,1.39
650.31,1.63,-0.22,2.72,347.39,327.41,694.95,1.33
649.96,1.88,0.16,2.17,347.66,327.82,695.25,1.63
650.04,1.77,-0.11,2.17,347.18,327.6,695.79,1.25
649.9,1.75,-0.19,2.44,347.45,327.85,696.65,1.82
650.06,1.44,-0.08,2.33,347.73,327.69,696.81,1.93
649.9,1.6,0.24,2.46,347.3,327.85,696.76,2.13
649.8,1.83,-0.11,2.17,347.41,328.45,696.87,2.02
649.93,1.22,-0.51,2.33,347.64,328.53,697.37,2.59
649.85,1.93,-0.7,2.25,347.42,328.69,697.61,2.21
650.26,2.01,0,2.13,347.76,328.86,697.78,2.49
650.48,1.84,-0.22,2.22,348.41,329.13,697.61,2.23
650.56,1.44,0.18,2.19,347.98,328.97,697.75,1.53
650.94,1.71,-0.41,2.36,348.03,329.21,697.66,2.11
650.86,1.9,-0.25,1.65,348.32,329.37,697.69,2.05
651.34,1.44,-0.52,1.97,348.51,329.48,697.02,2.51
651.78,2.04,-0.52,1.97,348.28,329.4,696.73,1.95
651.38,1.74,-0.46,1.59,348.71,329.97,696.69,2.35
651.46,1.88,-0.54,1.78,349,329.3,696.69,2.27
651.84,1.74,-0.14,1.81,349.06,329.73,695.94,1.81
651.98,1.66,-0.55,1.78,348.81,330.13,695.95,3.05
651.76,1.79,-0.73,2,348.84,330.35,694.92,2.92
652.36,1.33,-0.32,1.73,349.52,330.79,694.44,2.76
652.17,1.69,-0.3,1.97,349.4,330.05,694.09,2.51
652.28,1.82,-0.27,1.4,349.45,330.24,693.34,2.43
652.23,1.36,-0.35,2.16,349.45,331.25,693.12,2.92
652.71,1.47,-0.33,1.67,349.4,330.81,692.55,2.48
652.69,1.52,-0.14,1.78,349.5,331.47,691.43,2.35
652.96,1.9,-0.35,1.72,349.39,331.65,691.56,2.35
653.13,1.69,-0.02,1.64,349.83,331.6,690.76,2.19
653.21,1.66,-0.3,1.61,349.83,331.65,689.81,2.81
653.16,1.76,-0.68,1.53,350.07,331.49,689.76,2.3
653.54,2.09,-0.41,1.83,350.34,331.33,688.66,2.59
653.7,1.87,-0.65,1.72,350.63,331.63,688.41,2.89
653.21,1.84,-0.7,1.42,350.69,331.95,687.87,2.59
653.52,2.2,-0.62,1.31,350.48,331.29,687.04,2.19
653.76,1.82,-0.57,1.31,350.17,331.73,686.34,2.46
653.76,1.93,-0.05,1.94,350.47,332,686.17,2.6
653.63,1.47,-0.35,1.58,350.85,331.84,685.66,2.84
653.96,1.52,-0.43,1.45,351.06,331.62,685.34,2.68
653.93,1.66,0.14,1.66,351.01,332.08,684.13,2.68
653.93,2.15,-0.43,1.25,351.01,331.32,683.41,2.73
653.74,1.41,-0.37,1.14,351.01,331.51,683.25,2.13
653.43,1.9,-0.17,1.28,351.16,331.14,681.61,2.57
653.69,1.91,-0.31,1.47,350.76,331.29,682.09,2.27
653.61,1.55,-0.38,1.62,351.35,330.99,681.18,2.46
652.94,1.82,-0.67,1.6,351.39,331.32,680.8,2.76
653.46,1.95,-0.22,1.38,351.64,331.13,679.97,1.92
653.62,1.93,0.07,1.74,351.86,331.18,679,1.91
652.95,1.47,-0.71,1.62,351.78,330.97,678.57,1.86
652.87,1.58,-0.46,1.3,351.94,330.5,678.01,2.16
653.49,1.9,-1,1.2,351.83,330.33,676.74,1.94
653.39,1.82,-0.73,1.22,351.91,330.56,676.02,1.94
652.82,1.41,-0.35,1.32,352.28,330.44,676.1,2.24
653.42,1.88,-0.6,1.4,351.88,330.52,675.45,2.21
653.74,2.04,-0.33,1.26,352.04,330.01,674.18,2.1
653.58,1.66,-0.73,2.22,352.2,329.9,673.44,2.18
653.69,1.82,-0.63,1.61,352.63,330.06,673.13,2.45
654.34,1.93,-1.06,1.4,352.26,330.08,672.54,2.1
654.04,1.45,-1.09,1.43,352.45,329.68,671.77,2.1
654.42,1.41,-0.65,1.83,352.07,329.65,670.97,1.72
654.86,1.42,-0.49,1.56,352.76,329.4,669.94,2.26
655.45,1.93,-0.49,1.78,352.6,329.08,669.56,2.07
655.58,2.15,-0.64,1.34,352.76,329.06,669.24,1.69
655.77,1.28,-0.33,1.4,352.47,328.86,668.73,2.02
656.36,1.82,-0.9,1.2,352.87,328.86,667.65,1.75
657.03,1.85,-0.54,1.64,353.14,329.19,667.9,1.36
657.2,1.93,-0.39,1.39,353.02,329.16,666.53,2.07
657.74,1.82,-0.32,1.33,353.54,328.72,666.04,1.91
658.04,1.36,-0.22,1.74,353.32,328.94,665.81,2.05
658.84,1.82,0.16,1.61,353.4,328.8,664.71,1.66
659.66,1.63,-0.3,1.69,353.26,328.69,664.76,1.75
659.92,1.68,-0.05,1.85,353.05,328.29,664.03,2.05
660.22,1.82,-0.59,1.79,353.22,328.42,663.1,2.21
661.35,1.9,-0.16,1.68,353.94,328.31,662.82,1.86
661.38,1.47,-0.3,1.6,353.7,327.96,662.13,2.16
661.92,1.96,-0.25,1.51,353.32,328.18,661.8,1.94
662.86,1.06,-0.35,1.28,354.02,327.85,661.48,1.34
663.73,1.69,-0.49,1.6,353.75,328.15,661.27,1.75
664.1,1.87,-0.47,1.84,354.16,327.96,660.52,2.19
664.43,2.01,0.05,1.57,354.26,328.15,659.85,2
664.65,1.82,-0.27,1.93,354.32,328.34,659.68,1.91
665.45,1.61,-0.76,1.49,354.37,328.31,658.99,2.1
666.32,1.57,-0.49,1.46,354.23,328.36,658.55,1.69
666.53,1.47,-0.51,1.3,354.02,327.93,658.21,2.24
667.34,1.77,-0.81,1.24,353.93,328.58,658.61,2.35
667.43,1.66,-0.53,1.08,353.97,328.42,657.8,1.69
668.19,1.88,-0.57,1.62,353.94,328.45,657.32,1.8
668.92,1.91,-0.63,1.7,354.46,329.13,657.34,2.02
668.81,1.63,-0.6,1.71,354.61,328.26,656.82,2.1
669.27,1.93,-0.92,1.11,354.91,328.17,656.65,2.02
669.01,2.42,-0.25,0.97,355.35,329.01,657.02,2.08
669.89,1.71,-0.63,1.35,355.02,328.8,657.13,2.13
669.96,2.04,-0.55,1.51,355.14,329.47,656.7,1.85
670.44,1.55,-0.49,1.24,355.37,329.15,656.86,1.67
670.93,1.77,-0.6,1.27,355.31,329.39,656.99,2.54
670.98,2.04,-0.28,1.51,355.29,328.64,657.03,2.4
671.36,1.66,-0.32,1.62,355.74,329.09,657.62,2.16
671.58,2.34,-0.14,1.48,355.88,329.36,658,1.89
671.29,1.93,0.02,1.29,355.85,329.36,658.51,2.67
671.89,1.9,-0.11,1.1,355.59,328.96,658.29,2.37
672.27,2.12,-0.07,1.54,355.61,329.12,658.74,2.51
671.92,2.29,0,1.67,356.29,329.01,659.36,2.16
671.96,2.37,0,1.29,356.5,329.45,659.9,2.62
672.44,1.77,0.41,1.61,356.54,328.69,659.75,2.35
672.06,1.52,0.11,1.31,356.1,329.26,660.85,2.22
672.36,2.15,0.3,1.34,356.48,329.2,661.22,2.84
672.15,1.74,0.14,1.53,356.64,329.31,661.3,2.07
671.62,1.9,-0.02,1.59,356.8,329.12,661.19,2.32
671.75,1.88,-0.1,1.26,356.85,329.14,662.19,2.24
671.9,1.99,0.62,1.56,356.78,329.14,662.16,1.86
671.73,1.99,0.19,1.69,357.21,329.69,662.24,2.21
671.58,1.96,-0.21,1.2,357.29,329.2,662.62,2.54
671.79,1.87,0.03,0.96,357.1,329.88,663.24,1.99
671.44,1.66,-0.32,1.09,357.13,329.55,662.69,2.1
671.61,1.25,0.06,1.42,357.53,329.74,663.66,2.51
670.91,1.44,-0.51,1.51,357.45,329.35,663.93,2.18
671.15,1.2,-0.22,1.61,357.49,329.28,664.26,2.46
671.08,1.74,-0.19,1.69,357.3,329.33,664.34,2.02
670.73,1.93,-0.28,0.9,357.3,329.52,664.28,1.78
670.54,1.71,-0.25,0.98,357.65,329.2,665.06,2.57
671.16,1.5,-0.44,1.2,357.94,329.2,665.04,1.85
670.84,1.55,-0.22,0.93,357.48,329.19,665.31,2.24
671.14,1.61,-0.19,0.69,357.39,328.76,665.23,2.87
671.33,1.91,-0.68,1.06,357.58,329.36,665.44,1.94
671.06,1.33,-0.87,1.34,357.36,329.25,666.23,1.94
671.28,1.96,-0.33,1.33,357.36,329.28,665.63,2.19
670.96,2.04,-0.05,0.79,357.42,329.55,666.68,1.99
671.6,1.39,-0.44,1.14,357.13,329.49,667.33,2.35
671.66,1.84,-0.52,1.44,357.52,329.44,666.55,2.16
671.88,1.77,0.11,1.33,357.17,329.19,666.81,2.24
672.58,1.41,-0.62,1.44,357.54,329.05,667.25,2.24
672.32,1.38,-0.27,1.71,357.44,329.85,667.27,2.32
672.67,1.55,-0.7,1.15,357.55,329.27,667.44,2.16
672.76,0.98,-0.29,1.49,357.55,329.95,667.9,2.11
673,1.68,-0.11,1.6,357.79,329.51,667.76,2.35
672.76,1.16,-6.93E-04,1.44,357.69,329.49,667.96,1.78
673.05,1.52,-0.24,1.54,357.79,329.41,668.25,2.02
673.19,1.82,0.54,1.06,357.71,329.52,668.52,1.81
673.11,1.57,0.05,1.28,357.79,329.18,668.79,2.16
673.55,1.85,0.05,1.68,357.71,329.57,668.82,2.29
673.25,1.71,-0.03,1.46,358.23,329.4,668.73,2.34
673.35,1.6,-0.24,1.24,357.23,329.57,669.06,2.1
673.96,1.33,-0.19,1.3,357.82,329.42,669.06,2.07
673.95,1.17,-0.43,1.69,357.66,329.45,669.06,1.65
673.72,2.09,0.03,1.27,357.28,329.32,669.14,1.86
674.05,1.82,-0.11,1.35,357.62,329.59,669.36,2.4
673.62,1.58,-0.08,1.46,357.27,329.78,669.76,2.24
674.18,1.91,0.16,1.08,356.75,329.94,670.13,2.29
674.16,1.69,8.67E-04,1.57,356.97,329.56,669.87,1.86
673.46,2.37,-0.7,1.27,356.94,329.24,671.08,1.64
673.47,1.85,-0.46,1.3,357.02,329.66,670.8,1.91
672.96,1.77,-0.3,1.25,356.53,329.64,670.88,2.34
672.05,2.34,0.16,1.54,356.4,329.58,671.05,2.16
672.51,1.58,-0.38,1.19,356.3,329.34,671.72,2.05
672.19,2.04,-0.39,1.08,355.65,329.86,672.2,1.94
671.68,1.64,-0.15,1.33,355.84,329.69,673.17,2.21
671.23,1.82,-0.17,1.16,355.98,329.28,673.04,2.56
670.5,1.66,-0.76,0.94,355.79,329.58,673.47,2
669.81,1.52,-0.74,0.86,356,329.66,674.92,2.08
669.99,1.96,-0.98,1.25,355.3,329.91,674.91,1.77
669.07,1.85,-0.55,1.14,355.36,329.63,675.83,2.65
668.85,1.48,-0.79,1.54,355.25,329.6,675.96,2.02
667.77,2.01,-0.74,0.97,355.22,329.41,676.34,2.05
667.08,1.93,-0.73,1.29,354.63,329.25,677.92,1.99
666.62,1.61,-0.81,1.27,355.13,329.2,678.46,1.8
665.88,1.63,-0.35,1.06,354.91,329.01,679.36,1.8
665.66,1.56,-0.3,0.87,355.12,329.74,680.17,1.99
665.23,1.93,-0.51,1.11,354.42,329.04,681.3,1.99
664.75,2.07,-0.47,1.43,355.12,329.11,682.31,1.85
664.76,2.15,-0.3,1.46,354.47,328.81,683.71,2.16
663.71,1.47,-0.33,1.22,354.3,329.52,684.56,2.26
663.15,1.61,-0.7,1.08,354.09,329,685.37,2.16
663.09,1.55,-0.11,1,354.02,328.86,686.09,1.77
662.86,1.58,-0.43,1.16,354.17,329,687.36,2.07
663.13,1.82,-0.57,1.52,354.31,328.94,688.26,2.4
662.92,1.55,-0.11,1.08,354.22,328.72,689.58,2.16
662.7,1.42,-0.25,1.54,354.56,328.62,690.49,2.27
663.25,1.79,-0.44,1.14,354.69,328.78,691.72,2.52
663.65,1.69,0.11,1.55,354.1,329.29,692.82,2.32
663.76,1.36,-0.21,1.54,354.18,328.69,693.31,2.45
664.01,1.52,-0.1,1.71,354.58,328.12,694.83,1.8
663.98,1.55,-0.11,1.02,354.45,328.61,695.61,1.67
664.87,1.55,-0.08,1.54,354.65,328.42,696.51,2.27
665.6,1.68,-0.3,1.62,354.08,328.31,697.51,2.26
665.47,1.94,-0.46,0.9,354.86,328.09,698.39,1.72
665.25,1.63,-0.36,0.68,355.28,327.6,700.04,2.21
666.09,1.61,-0.55,1.24,354.86,327.74,701.05,2.18
665.96,1.82,-0.73,1.27,354.73,327.57,700.84,2.42
667.36,2.26,-0.32,0.89,355.05,327.06,702.05,1.97
667.04,1.23,-0.41,0.98,355.05,327.09,703.19,2.62
668.61,1.53,-0.3,0.98,355.38,326.54,704.21,2.46
668.49,1.82,-0.57,1.16,355.54,326.76,704.23,2.13
669.46,2.04,-0.2,0.92,354.97,326.38,705.22,2.26
670.17,1.36,-0.41,1.06,355.43,327,705.4,2.32
670.14,1.99,-0.35,0.7,355.35,326.6,706.1,2.37
670.85,1.93,-0.51,0.94,355.49,325.78,706.77,2.24
670.99,2.22,-0.24,1.29,355.69,325.56,707.79,1.97
671.55,1.66,-0.64,1.4,355.85,325.26,707.92,2.07
672.07,1.96,-0.49,0.97,356.06,325.62,708.82,1.74
671.95,2.59,0.21,0.88,355.68,325.91,708.81,1.95
672.6,1.85,0.08,1.22,355.79,325.13,708.94,1.78
672.83,1.82,0,0.97,355.72,324.99,709.57,1.86
673.37,1.44,-0.11,1.24,355.97,325.01,710.03,1.78
673.29,1.68,0.05,1.32,355.51,324.42,709.84,2.56
673.38,1.47,0.05,1.24,355.64,324.29,710.16,2.15
673.65,1.6,-0.06,0.69,355.15,324.14,710.8,2.29
673.44,1.42,-0.24,1.29,355.35,323.96,710.53,2.13
673.47,1.77,-0.38,1.02,354.97,323.74,710.85,2.51
672.94,2.04,-0.45,1.19,355.13,323.39,711.38,2.54
672.94,1.58,0.06,1.32,354.85,323.66,711.62,2.22
672.76,2.31,2.61E-04,1.43,354.72,323.14,711.84,2.35
672.81,1.88,-0.1,1.08,354.52,323.44,711.99,2.01
672.31,1.58,-0.1,1.41,355.12,322.71,712.01,2.23
672.08,1.96,-0.03,1.21,354.55,323.06,712.23,2.56
671.03,2.12,0.06,1.53,354.66,323.39,712.43,2.38
670,1.63,0.08,1.51,354.16,322.38,711.6,2.07
669.52,1.99,0.15,1.45,353.81,322.62,711.86,2.07
669.13,1.53,-0.7,1.37,353.54,322.62,712.22,2.02
667.68,2.02,-0.43,0.64,353.84,322.25,712.1,2.08
667.12,1.99,-0.49,1.26,353.17,322.06,712.63,2.29
665.75,1.33,-0.67,1.53,353.34,321.84,711.72,1.78
665.27,2.12,-0.11,1.45,353.33,321.71,712.12,2.02
664.14,1.63,-0.14,1.36,353.01,321.84,712.06,2.18
663.07,1.98,-0.62,1.03,352.42,321.9,712.03,2.4
662.16,2.42,-0.16,1.29,352.62,322.15,711.86,1.82
660.72,1.47,-0.41,1.64,352.32,322.12,711.57,1.8
659.21,1.79,-0.52,1.58,352.37,322.11,711.96,1.88
657.87,1.63,-0.38,1.85,351.83,321.93,711.97,2.37
657.06,2.25,-0.35,1.34,352.08,322.06,711.48,2.34
656.07,2.22,-0.84,1.45,352.2,321.95,711.21,2.26
654.49,1.82,-0.49,1.52,351.28,322.06,711.37,2.21
653.14,1.61,-0.35,1.12,351.06,322.25,711.04,2.16
651.4,2.04,-0.51,1.58,350.94,322.53,710.23,1.96
650.52,1.6,-0.15,1.15,351.12,322.26,710.2,2.05
648.86,1.39,-0.59,1.07,351.1,322.75,709.95,2.34
647.83,2.53,0.05,1.15,350.75,322.69,709.6,2.1
646.28,1.74,-0.27,0.85,350.29,322.69,709.52,2.35
645.15,1.74,-0.36,1.42,350.43,322.84,708.98,2.51
643.73,1.39,-0.35,1.32,350.19,323.02,708.6,2.21
642.62,1.86,0.28,1.4,349.66,323.84,708.52,2.73
640.88,1.8,0.25,1.18,349.21,323.57,708.49,2.05
638.81,1.9,0.14,0.69,349.65,323.95,707.9,2.37
637.6,1.36,-0.18,1.28,349.52,323.95,707.92,1.99
636.98,1.56,0.08,1.55,348.93,324.25,707.71,1.97
635.15,1.9,0.49,1.15,348.87,324.55,706.84,1.99
633.87,5.61,-0.07,1.23,348.71,324.77,707.29,1.64
631.69,15.01,0.49,0.9,348.95,324.71,707.05,2.07
629.45,28.91,0.46,1.42,348.95,325.71,706.59,2.04
627.73,33.43,0.24,1.07,347.96,325.79,706.31,2.18
627.08,34.18,-0.05,1.07,348.28,326.17,706.91,2.15
625.9,35.81,0.36,1.45,348.26,326.53,706.2,2.05
624.84,35.46,-0.05,0.93,348.42,326.61,705.78,2.26
623.79,34.55,-0.16,0.96,348.74,326.67,705.61,1.94
623.88,30.83,-0.51,1.23,348.41,327.01,705.77,2.48
623.08,29.87,-0.01,1.18,347.87,327.39,705.82,2.29
620.67,30.32,-0.46,0.96,348.47,328.13,705.63,1.96
618.14,34.85,-0.16,1.29,348.09,327.89,706.12,1.94
615.09,38.88,-0.52,0.77,348.12,328.24,705.6,1.94
612.96,42.71,-0.35,1.21,348.44,328.37,705.12,2.19
610.96,45.6,-0.25,1.21,348.54,328.07,705.1,1.99
608.93,47.98,-0.66,0.99,348.08,328.75,705.31,2.1
607.15,50.24,-1,0.72,348.35,328.75,704.85,2.02
607.31,47.52,-0.44,1.26,348.36,328.97,704.9,1.75
606.31,43.39,-0.76,1.17,348.38,329.35,704.56,1.96
603.9,39.08,-0.72,0.74,348.6,329.46,704.4,2.4
601.27,40.53,-0.66,0.82,348.66,329.37,703.88,2.05
597.75,45.98,-0.73,0.8,348.67,329.46,704.39,2.13
594.59,50.52,-0.42,0.88,348.79,329.98,703.53,2.18
593.53,54.87,-0.66,0.5,348.89,329.62,702.83,2.32
591.62,63.31,-0.74,1.15,348.89,329.7,702.54,2.34
588.63,68.87,-0.79,0.79,348.91,330.22,702.17,2.11
586.8,70.39,-0.68,0.74,349.05,330.08,702.39,2.59
586.89,71.82,-0.82,1.66,348.83,329.99,701.23,2.4
586.45,76.36,-0.49,1.31,348.9,330.4,701.17,2.57
581.87,80.35,-0.36,1.1,349.29,330.4,700.81,2.43
579.22,81.7,-0.22,1.31,349.18,330.51,700.17,2.38
576.63,80.87,0,1.31,349.15,331.02,699.14,2.16
575.6,81.39,-0.21,1.36,349.19,330.76,698.45,2.08
573.65,83.28,-0.46,1.45,349.53,330.62,697.9,2.3
571.07,86.56,-0.2,1.55,349.4,331.02,696.93,2.21
568.6,88.39,-0.3,0.98,349.68,330.75,696.59,2.73
567.37,91.36,-0.03,1.12,349.55,330.91,695.22,2.4
565.71,95.06,0.16,1.17,350.03,330.34,694.52,2.26
563.46,97.98,-0.6,1.36,350.11,330.94,693.85,2.21
561.17,101.98,-0.4,1.39,349.87,330.42,693.1,1.89
559.78,105.4,-0.22,1.33,350.19,330.97,692.51,2.15
558.25,109.93,-0.02,1.61,350.54,330.73,692,2.29
555.87,113.58,-0.44,1.55,350.66,330.42,691.11,2.16
554.07,118.11,-0.06,1.47,350.7,330.77,690.29,2.18
551.66,124.01,-0.51,1.2,351.05,330.45,689.93,1.89
549.6,130.83,-0.89,1.28,350.83,330.5,688.68,2.16
547.39,138.39,-0.37,1.15,351.02,330.26,687.87,2.1
545.35,144.55,-0.61,0.85,350.76,330.53,687.95,2.05
543.03,149.64,-0.95,1.12,351.1,330.25,687.25,2.16
541.98,154.16,-0.52,1.36,351.43,329.98,686.72,2.7
540.18,158.09,-1,1.2,351.49,330.15,685.82,2.37
538.05,162.25,-0.15,1.14,351.19,330.12,685.34,2.45
536.7,168.97,-0.16,1.34,352.15,330.17,684.57,2.1
534.79,176.17,-0.19,1.31,352.02,329.39,684.2,2.22
