fp1,fp2
360.39,432.37
360.42,433.31
360.56,432.37
360.22,432.01
360.69,432.07
361.07,432.42
361.18,432.17
360.82,432.09
360.65,431.76
360.6,432.53
361.29,432.08
361.08,431.67
361.32,431.72
360.77,431.42
361.28,431.56
361.45,431.99
361.18,431.47
361.32,431.74
360.96,431.36
361.28,431.24
361.55,430.94
361.1,430.94
361.03,430.83
361.45,430.52
360.99,429.97
361.51,430.52
361.24,429.91
361.64,429.83
361.74,430.3
362.23,430.05
362.38,430.54
362.36,430.37
362.6,429.79
362.32,430.18
362.82,429.29
363.29,429.54
362.94,429.73
363.53,430
364.08,429.76
364.2,429.92
364.23,429.23
364.07,429.12
364.18,429.39
364.59,429.19
365.14,429.36
364.77,429.3
365.17,428.97
365.52,428.77
365.52,429.18
365.72,428.82
365.78,428.49
366.15,428.57
366.36,428.79
366.48,428.26
366.51,428.29
367.05,428.26
367.52,428.26
367.16,428.01
366.58,427.9
366.84,428.36
367.49,427.95
367.66,427.97
367.4,427.97
367.82,427.39
367.85,427.17
367.56,427.22
368.12,427.44
368.55,427.17
367.94,426.91
368.45,426.86
367.82,426.72
368.02,426.91
368.34,426.71
368.57,425.83
368.12,426.16
368.52,426.3
368.7,425.72
368.4,425.88
368.97,425.08
369.17,425.11
369.08,425.44
368.75,425.13
368.96,425.08
369.17,424.63
368.78,424.52
368.43,424.52
368.74,424.11
368.14,424.13
368.83,423.97
368.94,423.96
368.34,423.77
368.51,423.36
368.24,423.49
368.77,423.02
368.39,423.05
368.38,422.91
368.8,423.02
368.4,422.68
368.77,422.21
369.08,422.63
368.63,422.46
368.73,422.43
368.82,421.82
368.07,421.74
368.56,421.79
368.2,421.63
368.27,421.51
368.63,421.49
368.82,421.26
368.72,421.34
368.6,420.98
368.9,421.18
368.77,420.93
369.34,420.68
369.41,420.68
369.49,420.34
369.98,420.81
370.41,420.37
370.62,420.45
370.76,420.86
371.09,421.19
371.91,420.47
371.89,420.88
371.81,420.25
371.91,420.69
371.68,420.66
372.04,420.66
372.13,420.52
372.09,420.57
372.29,420.76
372.52,420.13
373.17,420.56
373.26,420.18
373.45,420.48
373.54,420.7
373.75,420.25
374.33,420.03
374.26,419.89
374.28,419.5
374.54,420
374.57,419.77
374.6,419.85
374.97,419.99
374.83,419.68
374.89,419.68
375.22,419.43
375.43,419.24
375.75,419.45
375.43,419.15
375.54,419.28
375.09,418.78
375.4,418.51
375.69,418.92
375.64,418.78
375.21,418.28
375.24,418.22
375.24,418.19
375.62,417.94
375.26,417.64
375.46,417.72
375.22,417.69
374.94,417.27
374.84,417.05
375.03,417.13
374.98,416.77
374.2,416.52
374.74,416.35
374.17,416.85
374.6,416.07
374.33,415.96
374.24,415.6
373.92,415.49
373.99,415.54
373.45,415.38
373.91,415.13
373.36,415.07
373.77,414.65
373.01,414.79
373.05,414.19
373.29,414.62
373.32,414.4
373.58,414.46
373.52,414.65
373.8,414.48
373.23,414.53
373.42,414.23
373.65,414.64
373.39,414.09
373.46,414.36
373.76,414.36
373.74,414.3
373.91,414.85
373.83,414.02
374.08,413.91
373.97,414.43
373.77,414.1
373.84,414.54
373.86,414.59
373.81,414.78
373.63,414.4
374.07,414.01
373.92,414.5
374.04,414.64
374.21,414.61
374.11,414.64
374.26,414.36
374.52,414.08
374.03,414.63
373.91,414.24
373.8,414.3
373.89,414.1
373.66,413.91
373.68,413.82
373.43,413.87
373.81,413.9
373.65,413.62
373.35,413.95
374,414.09
373.18,413.4
373.36,413.29
373.69,413.59
373.39,413.34
373.38,413.15
373.2,413.7
373.32,413.25
373.59,413.36
373.47,413
373.59,412.78
373.86,413.25
373.55,412.72
373.55,412.7
373.48,412.94
373.76,412.94
373.71,412.69
373.62,412.86
373.96,412.99
373.87,412.74
374.01,412.77
373.74,412.47
374.31,412.63
374,412.79
373.38,412.6
374.01,412.24
374.06,412.41
374.32,412.79
373.82,412.35
373.85,412.54
373.85,412.48
374.11,412.54
374.53,412.31
373.88,412.51
374.14,412.15
374.22,412.34
374.06,412.17
374.6,411.87
374.63,412.55
375.08,412.39
375.14,412.25
375.2,412.93
375.03,413.07
375.26,412.57
375.05,413.01
374.92,412.87
375.04,413.07
375.39,412.73
375.04,413.53
375.5,413.31
375.33,412.81
374.94,413.19
375.18,412.84
374.92,412.73
374.72,413.05
375,413.27
374.91,412.77
374.84,412.55
374.68,413.02
375.22,413.29
375.05,413.13
374.66,413.23
374.82,413.67
374.94,413.31
374.78,413.48
374.66,413.34
374.24,412.9
374.68,413.06
374.76,413.17
374.66,412.7
374.67,412.83
374.59,413.33
374.37,413.08
373.96,413
374.38,412.8
374.25,413.49
374.16,412.63
374.53,413.07
374.4,412.8
374.08,412.85
373.76,412.49
373.33,413.18
373.41,412.79
374.18,413.04
373.48,412.68
373.6,413.01
373.26,413.03
373.2,412.67
373.34,412.31
373.06,412.42
372.62,413.19
372.97,412.86
372.82,412.89
372.95,412.25
373.35,412.58
372.79,412.96
373.02,412.8
372.5,412.33
372.76,411.94
372.6,412.33
372.77,412.49
372.68,412.79
372.78,412.1
372.57,412.3
372.58,411.77
372.66,411.94
372.36,411.71
372.29,412.02
372.03,412.07
372.57,411.71
372.53,412.07
372.76,411.38
372.56,411.63
372.39,412.12
372.48,412.09
372.41,412.18
372.3,412.34
372.34,412.53
371.77,411.92
372.54,412.12
372.35,412.23
372.18,412.45
371.98,412.5
372.06,412.39
371.95,412.94
372.18,412.55
371.64,412.77
371.85,412.88
371.5,412.94
371.53,413.21
371.58,413.35
371.35,413.46
371.36,413.43
371.49,414.06
371.2,413.81
371.42,413.79
371.37,413.73
371.32,413.89
371.24,414.67
371.03,414.58
371.19,414.09
371.16,414.8
370.99,414.99
371.11,415.35
370.76,414.91
371.18,415.6
371.06,415.57
371.26,415.82
370.93,416.12
371.07,415.84
371.47,416.2
371.24,415.95
371.32,416.67
371.23,416.39
371.31,416.5
371.51,416.5
371.5,416.25
371.24,416.72
371.24,416.36
371.04,416.55
371.46,416.61
371.38,417.24
371.81,416.61
371.26,416.42
371.67,416.66
371.37,416.63
371.54,417.1
371.18,416.63
371.72,416.66
371.57,416.74
371.64,416.77
371.44,416.55
371.81,416.72
371.69,416.69
371.31,416.8
371.35,416.49
371.21,417.1
371.66,416.49
371.84,417.23
371.28,416.55
371.19,416.91
370.99,416.63
371.09,417.12
371.05,416.57
371.04,416.93
371.36,417.04
371.37,416.88
371.03,417.02
370.82,417.15
370.72,417.21
371.05,417.12
371.04,417.21
371.1,417.59
371.04,417.21
371.63,417.51
371.57,417.23
371.41,417.92
371.71,418.34
371.39,417.95
371.99,417.79
372.3,418.2
372.51,418.48
